中文名稱,英文名稱,近臺強度,最低氣壓(hPa),近臺,最大風速(m/s),7級風暴風半徑(km),10級風暴風半徑(km),發布警報時間,解除警報時間
瑪芝,MARGE,中度,975,33,100,30,8,1976-11-08 16:00,1976-11-10 09:30
魯依絲,LOUISE,強烈,895,68,300,100,10,1976-11-03 16:00,1976-11-05 21:50
艾瑞絲,IRIS,中度,975,35,200,50,8,1976-09-16 10:30,1976-09-18 05:00
芙安,FRAN,強烈,910,68,400,100,9,1976-09-07 16:00,1976-09-09 15:00
戴特,DOT,輕度,990,23,150,---,6,1976-08-20 05:30,1976-08-21 09:30
畢莉,BILLIE,強烈,910,55,300,150,8,1976-08-08 21:30,1976-08-10 15:00
魯碧,RUBY,中度,935,33,180,30,12,1976-06-27 16:30,1976-06-30 10:30
芙勞西,FLOSSIE,輕度,970,30,200,70,3,1975-10-21 21:15,1975-10-22 15:06
艾爾西,ELSIE,強烈,990,70,200,50,10,1975-10-11 09:30,1975-10-13 20:30
貝蒂,BETTY,中度,950,45,250,100,11,1975-09-21 09:30,1975-09-23 21:30
婀拉,ORA,中度,970,35,250,50,8,1975-08-10 17:00,1975-08-12 16:00
妮娜,NINA,強烈,900,65,250,90,8,1975-08-02 09:00,1975-08-04 05:00
葛樂禮,GLORIA,強烈,930,55,300,100,12,1974-11-05 21:30,1974-11-09 05:30
艾琳,ELAINE,強烈,940,51,300,80,4,1974-10-27 21:30,1974-10-29 09:40
黛拉,DELLA,中度,960,40,150,50,4,1974-10-23 10:40,1974-10-24 15:40
貝絲,BESS,中度,970,38,300,150,5,1974-10-10 22:30,1974-10-12 22:00
范迪,WENDY,輕度,980,30,150,30,12,1974-09-26 16:30,1974-09-29 10:30
露西,LUCY,輕度,994,20,120,---,5,1974-08-09 22:40,1974-08-10 22:30
琴恩,JEAN,輕度,995,25,80,---,6,1974-07-18 16:50,1974-07-19 22:00
鶯瑪,EMMA,輕度,985,28,150,---,5,1974-06-15 22:30,1974-06-17 15:30
白西,PATSY,強烈,890,65,300,100,4,1973-10-11 10:30,1973-10-12 15:30
娜拉,NORA,強烈,875,63,350,150,12,1973-10-07 22:30,1973-10-10 15:00
瓊安,JOAN,輕度,990,23,150,---,5,1973-08-19 21:00,1973-08-20 22:00
芙安,FRAN,輕度,1000,18,90,---,3,1973-07-29 16:00,1973-07-30 14:30
畢莉,BILLIE,強烈,920,60,220,100,14,1973-07-13 15:30,1973-07-17 09:40
魏達,WILDA,輕度,980,28,200,---,6,1973-07-02 10:30,1973-07-03 22:00
貝蒂,BETTY,強烈,910,65,400,300,11,1972-08-14 21:30,1972-08-17 14:30
溫妮,WINNIE,輕度,990,18,60,---,4,1972-08-01 08:00,1972-08-02 06:00
蘇珊,SUSAN,中度,980,35,250,---,7,1972-07-11 14:10,1972-07-13 10:40
莉泰,RITA,中度,910,33,250,100,9,1972-07-22 11:00,1972-07-24 10:20
貝絲,BESS,強烈,905,65,300,200,10,1971-09-20 21:30,1971-09-23 10:30
艾妮絲,AGNES,中度,975,33,200,---,10,1971-09-17 10:10,1971-09-19 15:30
